  2.0090000e+003  7.0000000e+000  1.7000000e+001  1.5000000e+001  0.0000000e+000  1.9862500e+002             NaN  1.0218874e+003             NaN             NaN             NaN             NaN             NaN             NaN  1.6480041e+002             NaN             NaN             NaN             NaN             NaN             NaN  7.1934167e-001             NaN             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  1.6000000e+001  0.0000000e+000  1.9866667e+002  1.0118250e+002             NaN             NaN  1.0666505e+003             NaN             NaN             NaN  2.8353662e+000             NaN             NaN  1.5962058e+002             NaN             NaN             NaN  6.7534223e-001             NaN             NaN  6.9909748e-001             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  1.7000000e+001  0.0000000e+000  1.9870833e+002             NaN  8.1333159e+002             NaN  1.2405969e+003  1.4460092e+003             NaN             NaN             NaN  1.2411544e+002             NaN  5.1422244e+001  1.5804478e+001             NaN             NaN             NaN  6.8167683e-001             NaN  7.7627314e-001  7.0362207e-001             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  1.8000000e+001  0.0000000e+000  1.9875000e+002  8.2345829e+002  1.2720113e+003             NaN             NaN             NaN             NaN             NaN  3.9800612e+001  2.2305017e+002             NaN             NaN             NaN             NaN             NaN  6.6837583e-001  7.2175770e-001             NaN             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  1.9000000e+001  0.0000000e+000  1.9879167e+002  1.2496340e+003  1.6567808e+003  1.9246980e+003             NaN             NaN             NaN             NaN  1.1869514e+002  8.9451260e+001  1.4076612e+002             NaN             NaN             NaN             NaN  6.7902058e-001  6.8500299e-001  7.2250954e-001             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  2.0000000e+001  0.0000000e+000  1.9883333e+002  1.2224264e+003  1.5467845e+003             NaN             NaN             NaN             NaN             NaN  1.5256774e+002  6.9301151e+001             NaN             NaN             NaN             NaN             NaN  6.8380124e-001  7.0146657e-001             NaN             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  2.1000000e+001  0.0000000e+000  1.9887500e+002  1.2098796e+003  1.7547627e+003             NaN             NaN             NaN             NaN             NaN  1.8686168e+002  6.1685543e+001             NaN             NaN             NaN             NaN             NaN  6.8320118e-001  7.0655809e-001             NaN             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  2.2000000e+001  0.0000000e+000  1.9891667e+002  1.1462463e+003  1.6322856e+003             NaN             NaN             NaN             NaN             NaN  6.8856539e+000  1.1747298e+002             NaN             NaN             NaN             NaN             NaN  6.7729812e-001  7.1064391e-001             NaN             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.7000000e+001  2.3000000e+001  0.0000000e+000  1.9895833e+002  1.1650853e+003  1.3858726e+003  1.5965541e+003             NaN             NaN             NaN             NaN  2.1378528e+001  1.5404000e+001  6.8171449e+001             NaN             NaN             NaN             NaN  7.0141249e-001  6.7467205e-001  6.8786998e-001             NaN             NaN             NaN             NaN
  2.0090000e+003  7.0000000e+000  1.8000000e+001  0.0000000e+000  0.0000000e+000  1.9900000e+002             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000             NaN  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
