2009	6	25	0	120	109
2009	6	26	0	230	219
2009	6	27	0	100	89
2009	6	27	12	550	539
2009	6	28	0	180	169
2009	6	28	12	1684	1673
2009	6	29	0	120	109
2009	6	30	0	170	159
2009	7	1	0	100	89
2009	7	2	0	80	69
2009	7	3	0	170	159
2009	7	4	0	160	149
2009	7	4	6	NaN	NaN
2009	7	4	12	1500	1489
2009	7	4	18	620	609
2009	7	5	0	320	309
2009	7	5	12	1204	1193
2009	7	6	0	140	129
2009	7	7	0	250	239
2009	7	8	0	200	189
2009	7	9	0	220	209
2009	7	10	0	170	159
2009	7	11	0	100	89
2009	7	12	0	120	109
2009	7	12	6	211	200
2009	7	12	12	1588	1577
2009	7	12	18	310	299
2009	7	13	0	300	289
2009	7	13	6	350	339
2009	7	13	12	1732	1721
2009	7	13	18	444	433
2009	7	14	0	180	169
2009	7	14	6	100	89
2009	7	14	12	1074	1063
2009	7	14	18	639	628
2009	7	15	0	300	289
2009	7	15	6	180	169
2009	7	15	12	1192	1181
2009	7	15	18	314	303
2009	7	16	0	200	189
2009	7	16	6	143	132
2009	7	16	12	1642	1631
2009	7	16	18	1422	1411
2009	7	17	0	150	139
2009	7	17	6	173	162
2009	7	17	12	1600	1589
2009	7	17	18	300	289
2009	7	18	0	200	189
2009	7	20	0	210	199
2009	7	21	0	90	79
2010	1	18	0	90	79
2010	1	19	0	130	119
2010	1	19	18	250	239
2010	1	20	0	310	299
2010	1	20	6	350	339
2010	1	20	12	500	489
2010	1	20	18	500	489
2010	1	21	0	550	539
2010	1	21	18	498	487
2010	1	22	0	480	469
2010	1	22	6	200	189
2010	1	22	12	370	359
2010	1	22	18	130	119
2010	1	23	0	160	149
2010	1	24	0	100	89
2010	1	25	0	140	129
2010	1	25	12	340	329
2010	1	26	0	200	189
2010	1	26	12	477	466
2010	1	27	0	40	29
2010	1	29	0	90	79
2010	2	1	12	140	129
2010	2	1	18	160	149
2010	2	2	0	90	79
2010	2	2	6	100	89
2010	2	2	12	160	149
2010	2	2	18	120	109
2010	2	3	0	150	139
2010	2	5	0	150	139
2010	2	5	12	520	509
2010	2	6	0	100	89
2010	2	7	0	90	79
2010	2	8	0	120	109
2010	2	9	0	90	79
2010	2	10	0	40	29
2010	2	10	12	500	489
2010	2	11	0	140	129
2010	2	11	12	200	189
2010	2	12	0	80	69
2010	2	12	12	170	159
2010	2	13	0	200	189
2010	2	14	0	200	189
2010	2	15	0	200	189
2010	2	15	12	240	229
2010	2	15	18	650	639
2010	2	16	0	80	69
2010	2	16	6	235	224
2010	2	17	0	140	129
2010	2	18	0	130	119
2010	2	19	0	170	159
2010	2	19	12	280	269
2010	2	21	0	100	89
2010	2	22	0	80	69
2010	2	23	0	140	129
2010	2	24	0	90	79
2010	2	25	0	150	139
2010	2	26	0	150	139
2010	2	26	12	150	139
2010	2	27	0	100	89
2010	2	27	12	541	530
2010	2	28	0	110	99
2010	2	28	12	284	273
2010	3	1	0	50	39
2010	3	1	12	523	512
2010	3	2	0	140	129
2010	3	3	0	110	99
2010	3	4	0	100	89
2010	3	4	12	310	299
2010	3	5	0	115	104
2010	3	10	0	75	64
2010	3	10	12	145	134
2010	3	11	0	80	69
2010	3	12	0	160	149
2010	3	13	0	90	79
2010	3	14	0	100	89
2010	3	15	0	110	99
2010	3	16	0	150	139
2010	3	17	0	200	189
2010	3	18	0	170	159
2010	3	19	0	130	119
2010	3	20	0	100	89
2010	3	21	0	90	79
2010	3	22	0	100	89
2010	3	23	0	50	39
2010	3	24	0	140	129
2010	3	24	12	478	467
2010	3	25	0	170	159
2010	3	26	0	150	139
2010	3	27	0	100	89
2010	3	28	0	100	89
2010	3	29	0	100	89
2010	3	30	0	60	49
2010	3	30	12	360	349
2010	3	31	0	135	124
2010	4	1	0	60	49
2010	4	1	12	750	739
2010	4	2	0	135	124
2010	4	3	0	175	164
2010	4	4	0	130	119
2010	4	4	12	240	229
2010	4	5	0	50	39
2010	4	5	12	250	239
2010	4	6	0	200	189
2010	4	7	0	110	99
2010	4	7	6	200	189
2010	4	7	12	1124	1113
2010	4	7	18	300	289
2010	4	8	0	250	239
2010	4	8	12	829	818
2010	4	8	18	300	289
2010	4	9	0	280	269
2010	4	9	6	320	309
2010	4	9	12	879	868
2010	4	9	18	600	589
2010	4	10	0	100	89
2010	4	10	6	200	189
2010	4	10	12	952	941
2010	4	10	18	250	239
2010	4	11	0	100	89
2010	4	12	0	200	189
2010	4	16	0	200	189
2010	4	17	0	110	99
2010	4	17	12	472	461
2010	4	18	0	180	169
2010	4	19	0	110	99
2010	4	20	0	160	149
